,0
0,"['Argentina:13::(with warning)', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Canada:PG::(tv rating)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics::(with warning)', 'Germany:12', 'Greece:K-13', 'Hong Kong:IIA', 'Hungary:12', 'Hungary:16', 'Iceland:12', 'India:UA', 'Ireland:12A', 'Ireland:12', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Maldives:15+', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Russia:16+::(DVD rating)', 'Singapore:PG13', 'South Africa:10-12', 'South Korea:12', 'Spain:12', 'Spain:16::(Movistar+)', 'Sweden:11', 'Switzerland:12', 'Thailand:G', 'Thailand:13::(DVD rating)', 'United Kingdom:12A', 'United Kingdom:12', 'United States:TV-14::(LV)', 'United States:PG-13', 'Vietnam:P::(2015, self-applied)']"
1,"['Argentina:13', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:14', 'Bulgaria:C', 'Canada:14A', 'Canada:PG::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:14A::(Manitoba)', 'Canada:G::(Quebec)', 'Canada:14A::(Saskatchewan)', 'Chile:14', 'Colombia:12', 'Czech Republic:12', 'Denmark:11', 'Ecuador:12::(Quito)', 'Finland:K-12', 'France:Tous publics avec avertissement', 'Germany:12', 'Greece:K-12', 'Hong Kong:IIA', 'Hungary:16', 'Iceland:12', 'India:UA', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Mongolia:PG', 'Netherlands:12', 'New Zealand:M', 'Nigeria:15', 'Norway:12', 'Peru:14', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Serbia:12', 'Singapore:PG13', 'Slovakia:12', 'South Africa:16', 'South Africa:13::(DVD rating)', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:15', 'Turkey:15A', 'United Kingdom:12A', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C16']"
2,"['Argentina:Atp::(with warning)', 'Australia:M', 'Austria:12', 'Belgium:KT/EA', 'Brazil:12', 'Bulgaria:C', 'Canada:PG::(Alberta/British Columbia/Manitoba/Saskatchewan)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:12', 'Czech Republic:U', 'Denmark:11', 'Ecuador:12', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Greece:K-12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:10', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Malta:12A', 'Mexico:B', 'Netherlands:9', 'Netherlands:12', 'New Zealand:M', 'Nigeria:12A', 'Norway:9', 'Peru:Apt', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:12+', 'Singapore:PG', 'South Africa:10-12', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Thailand:13', 'Turkey:13+', 'United Kingdom:12A', 'United States:PG-13', 'Vietnam:C13']"
3,"['Argentina:13', 'Australia:M', 'Austria:12', 'Brazil:12', 'Canada:PG::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:G::(Quebec)', 'Chile:TE+7', 'Colombia:7', 'Czech Republic:12', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Ireland:12::(DVD rating)', 'Italy:T', 'Japan:G', 'Lebanon:(Banned)', 'Lithuania:N-13', 'Luxembourg:12', 'Malaysia:P13', 'Maldives:15+', 'Malta:12A', 'Mexico:B', 'Netherlands:12', 'New Zealand:M', 'Norway:12::(cinema rating)', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Puerto Rico:PG-13', 'Russia:16+', 'Singapore:PG', 'Slovakia:12', 'South Africa:10-12', 'South Korea:12', 'Spain:12', 'Sweden:11', 'Switzerland:12', 'Taiwan:PG-12', 'Thailand:G', 'Turkey:13+', 'United Kingdom:12A', 'United Kingdom:12::(DVD rating)', 'United States:PG-13', 'Ukraine:12', 'Vietnam:C13']"
4,"['Australia:M', 'Brazil:12', 'Canada:14A::(Alberta)', 'Canada:PG::(British Columbia)', 'Canada:G::(Quebec)', 'Colombia:12', 'France:Tous publics', 'Hong Kong:IIB', 'Japan:G', 'Mexico:B', 'Netherlands:AL', 'Norway:12::(VOD)', 'Portugal:M/12', 'Singapore:NC16', 'South Korea:15', 'Spain:12', 'United States:R']"
5,"['Argentina:Atp::(with warning)', 'Australia:PG', 'Brazil:12', 'Canada:PG', 'Canada:PG::(Alberta/British Columbia/Ontario)', 'Canada:G::(Québec)', 'Denmark:7', 'Finland:K-7', 'France:Tous publics', 'Germany:0', 'Hong Kong:I', 'Hungary:12', 'India:UA', 'Indonesia:17+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B15', 'Netherlands:6', 'New Zealand:PG', 'Norway:A::(cinema rating)', 'Philippines:PG-13', 'Portugal:M/12', 'Russia:18+', 'Singapore:PG', 'South Africa:10', 'South Africa:7-9::(DVD rating)', 'South Korea:12', 'Spain:A::(ICAA)', 'Sweden:7', 'Switzerland:8', 'Thailand:13', 'United Kingdom:12A', 'United States:PG-13']"
6,"['Argentina:Atp::(with warning)', 'Australia:PG', 'Austria:10', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Canada:G::(Québec)', 'Chile:TE+7', 'Colombia:T', 'Denmark:11', 'Finland:K-12', 'France:Tous publics', 'Germany:12', 'Hong Kong:IIA', 'Hungary:12', 'Iceland:12', 'India:UA', 'Indonesia:13+', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Mexico:B', 'Netherlands:12', 'New Zealand:PG', 'Norway:12', 'Philippines:PG-13', 'Poland:12', 'Portugal:M/12', 'Russia:12+', 'Singapore:PG', 'South Africa:10', 'South Korea:12', 'Spain:7', 'Sweden:11', 'Switzerland:10', 'Taiwan:PG-12', 'Thailand:G', 'United Kingdom:12A', 'United States:PG-13', 'Vietnam:P']"
7,"['Argentina:16', 'Australia:MA15+', 'Austria:16', 'Belgium:KT/EA', 'Brazil:14', 'Canada:14A::(Alberta)', 'Canada:14A::(British Columbia)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Finland:K-16', 'France:Tous publics avec avertissement', 'Germany:12', 'Ireland:15A', 'Italy:T', 'Japan:PG12', 'Lithuania:N-13', 'Mexico:B15', 'Netherlands:16', 'New Zealand:R16', 'Norway:15', 'Portugal:M/14', 'Russia:18+', 'Singapore:NC16', 'South Africa:16', 'South Africa:13::(DVD rating)', 'South Korea:15', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-15', 'Thailand:18', 'Turkey:15+', 'United Kingdom:15', 'United States:R', 'Ukraine:16']"
8,"['Argentina:13', 'Australia:M', 'Brazil:14', 'Canada:14A', 'Canada:14A::(Alberta/British Columbia/Manitoba/Ontario)', 'Canada:14A::(British Columbia)', 'Canada:13+::(Quebec)', 'Chile:14', 'Colombia:12', 'Denmark:15', 'Finland:K-16', 'France:12', 'Germany:16', 'Hong Kong:IIB', 'Hungary:16', 'India:A', 'Indonesia:17+', 'Ireland:15A', 'Italy:T', 'Japan:G', 'Lithuania:N-13', 'Malaysia:P13', 'Maldives:15+', 'Mexico:B', 'Netherlands:16', 'New Zealand:R13', 'Norway:15', 'Philippines:R-13', 'Portugal:M/16', 'Russia:18+', 'Singapore:PG13', 'South Africa:13', 'South Africa:16::(video)', 'South Korea:15', 'Spain:16', 'Sweden:15', 'Switzerland:16', 'Taiwan:R-12', 'United Kingdom:15', 'United States:PG-13', 'Ukraine:16', 'Vietnam:(Banned)', 'Vietnam:C18']"
9,"['Argentina:13', 'Australia:PG', 'Brazil:12', 'Canada:PG::(British Columbia)', 'Denmark:11::(DVD rating)', 'Finland:K-7::(DVD rating)', 'France:Tous Public', 'Germany:6', 'Hong Kong:IIA', 'Hungary:12', 'Ireland:12A', 'Italy:T', 'Japan:G', 'Netherlands:12', 'New Zealand:PG', 'Norway:7::(DVD rating)', 'Portugal:M/12', 'Singapore:PG', 'South Africa:10', 'South Korea:12', 'Spain:A::(ICAA)', 'Sweden:11', 'Switzerland:12', 'Taiwan:R-12', 'Thailand:15', 'United Kingdom:12A', 'United Kingdom:12::(video rating)', 'United States:PG-13']"
