,tconst,primary_title,original_title,start_year,runtime_minutes,genres,actor,actress,composer,director,editor,producer,writer,movrating,r males,r females,r imdb users,r aged 18 29,r aged 30 44,r males aged 18 29,r males aged 30 44,r females aged 18 29,r top 1000 voters,r us users,r non us users,budget,global_gross,budget_inmil,gross_inmil,profit_ratio
0,tt0369610,Jurassic World,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi","nm0695435, nm1339223","nm0397171, nm0339460",,nm1119880,,nm0189777,"nm0415425, nm0798646, nm2081046, nm0000341",PG-13,6.9,7.3,7.0,7.1,6.9,7.0,6.8,7.4,6.8,7.1,6.8,150000000,1648854864,150.0,1648.854864,10.99236576
1,tt0437086,Alita: Battle Angel,Alita: Battle Angel,2019,122.0,"Action,Adventure,Sci-Fi","nm0910607, nm0991810","nm4023073, nm0000124",nm0432725,nm0001675,,nm0484457,"nm0000116, nm0436164, nm1738737",PG-13,7.3,7.3,7.3,7.2,7.3,7.2,7.3,7.2,6.8,7.3,7.2,170000000,404852543,170.0,404.852543,2.3814855470588236
2,tt0448115,Shazam!,Shazam!,2019,132.0,"Action,Adventure,Comedy","nm1157048, nm0835016, nm4755508, nm6244013",,,nm2497546,,nm0755911,"nm2849655, nm0501359, nm1791910, nm1304148",PG-13,7.0,7.2,7.1,7.2,6.9,7.1,6.9,7.3,6.8,7.3,6.9,100000000,365971656,100.0,365.971656,3.65971656
3,tt0451279,Wonder Woman,Wonder Woman,2017,141.0,"Action,Adventure,Fantasy",nm1517976,"nm2933757, nm0000705, nm0205063",,nm0420941,,,"nm4243936, nm0374302, nm0811583, nm0297229, nm0551376",PG-13,7.3,7.8,7.4,7.5,7.3,7.5,7.2,7.9,7.0,7.7,7.2,149000000,821763408,149.0,821.763408,5.515190657718121
4,tt0475290,"Hail, Caesar!","Hail, Caesar!",2016,106.0,"Comedy,Drama,Music","nm0000982, nm0000123, nm2403277, nm0000146",,nm0001980,"nm0001053, nm0001054",,"nm0079677, nm0271479",,PG-13,6.3,6.2,6.3,6.5,6.2,6.5,6.2,6.3,6.0,6.4,6.3,22000000,62429013,22.0,62.429013,2.837682409090909
5,tt0478970,Ant-Man,Ant-Man,2015,117.0,"Action,Adventure,Comedy","nm0748620, nm0000140, nm1015684",nm1431940,,nm0715636,,,"nm1293367, nm0942367, nm0180428, nm0570912, nm0498278",PG-13,7.2,7.4,7.3,7.3,7.2,7.3,7.2,7.4,7.1,7.4,7.2,130000000,519445163,130.0,519.445163,3.995732023076923
6,tt0490215,Silence,Silence,2016,161.0,"Adventure,Drama,History","nm1940449, nm3485845, nm0000553, nm0038355",,,nm0000217,,"nm0256542, nm0147603, nm0208381","nm0168379, nm0256870",R,7.1,7.0,7.2,7.5,6.9,7.5,7.0,7.2,6.6,7.4,7.0,46000000,23737523,46.0,23.737523,0.5160331086956521
7,tt0498381,Rings,Rings,2017,102.0,"Drama,Horror,Mystery","nm1025139, nm0301959, nm0000352",nm4436761,,nm1279573,,nm0531827,"nm0521649, nm1096524, nm0326040, nm0840626",PG-13,4.4,4.8,4.5,4.4,4.5,4.3,4.4,4.7,4.4,4.5,4.4,25000000,83018523,25.0,83.018523,3.32074092
8,tt0787524,The Man Who Knew Infinity,The Man Who Knew Infinity,2015,108.0,"Biography,Drama","nm2353862, nm0000460, nm0801674, nm3832790",,,nm0114226,,"nm3289797, nm1853997, nm0696299, nm1001945",nm2216692,PG-13,7.2,7.4,7.2,7.4,7.1,7.4,7.1,7.5,6.4,7.2,7.1,10000000,12158142,10.0,12.158142,1.2158142
9,tt0803096,Warcraft,Warcraft,2016,123.0,"Action,Adventure,Fantasy","nm1379938, nm0004936, nm1002641",nm1745736,,nm1512910,,"nm0746273, nm1568035, nm0308672, nm0419169",nm0495378,PG-13,6.8,6.9,6.8,6.9,6.7,6.9,6.7,7.0,6.0,6.4,6.7,160000000,433677183,160.0,433.677183,2.71048239375
